region,model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,n_test,fog_test,fog_prevalence_test,val_f1
태백,Persistence,,0.9929177641205736,0.5974025974025974,0.609271523178808,0.6032786885245902,0.8028051250002933,0.367433712097615,16872,62,59,92,17085,151,0.00883816213052385,
태백,XGBoost,0.9199999999999999,0.9911033069944396,0.4967741935483871,0.5099337748344371,0.5032679738562091,0.9749897733076681,0.47880688213943634,16856,78,74,77,17085,151,0.00883816213052385,0.5034965034965035
태백,1D-CNN,0.945,0.9867088237016218,0.25949367088607594,0.271523178807947,0.26537216828478966,0.9195685818550557,0.178797373406149,16811,117,110,41,17079,151,0.008841267053106153,0.3916083916083916
태백,LSTM,0.95,0.9810878857075941,0.1791044776119403,0.31788079470198677,0.22911694510739858,0.9177044342067376,0.16080060404882163,16708,220,103,48,17079,151,0.008841267053106153,0.30097087378640774
대관령,Persistence,,0.9702100424739629,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.7971350205305332,0.38669747727580855,16275,256,256,400,17187,656,0.03816838308023506,
대관령,XGBoost,0.83,0.9649153429917962,0.5402124430955993,0.5426829268292683,0.5414448669201521,0.9538186570390295,0.5203048655620527,16228,303,300,356,17187,656,0.03816838308023506,0.49740932642487046
대관령,1D-CNN,0.8049999999999999,0.9501775216809266,0.36876640419947504,0.42835365853658536,0.39633286318758815,0.9198908711855651,0.35062800062010824,16044,481,375,281,17181,656,0.038181712356673066,0.3688394276629571
대관령,LSTM,0.84,0.9426110238053664,0.324468085106383,0.4649390243902439,0.38220551378446116,0.9089950555330062,0.3386597304331169,15890,635,351,305,17181,656,0.038181712356673066,0.4109947643979058
백령도,Persistence,,0.9752070903087529,0.7377450980392157,0.7377450980392157,0.7377450980392157,0.8623668032909035,0.5566642845265156,16233,214,214,602,17263,816,0.04726872501882639,
백령도,XGBoost,0.7449999999999999,0.9597984127903609,0.5544642857142857,0.7610294117647058,0.6415289256198347,0.9754717172331326,0.6856764915981407,15948,499,195,621,17263,816,0.04726872501882639,0.6523855890944499
백령도,1D-CNN,0.61,0.9353305904850205,0.4002659574468085,0.7377450980392157,0.5189655172413793,0.9540195944261775,0.48810673525221726,15539,902,214,602,17257,816,0.0472851596453613,0.5345545378850958
백령도,LSTM,0.69,0.9474416178941879,0.46339501206757844,0.7058823529411765,0.5594949004371054,0.9591533331902191,0.5352299474457856,15774,667,240,576,17257,816,0.0472851596453613,0.5651376146788991
인천,Persistence,,0.9904843794783605,0.6795366795366795,0.6795366795366795,0.6795366795366795,0.8373535835714353,0.4665279090965556,17103,83,83,176,17445,259,0.014846660934365147,
인천,XGBoost,0.7849999999999999,0.9793637145313844,0.389010989010989,0.6833976833976834,0.4957983193277311,0.9792719853234225,0.5943959147549963,16908,278,82,177,17445,259,0.014846660934365147,0.45454545454545453
인천,1D-CNN,0.7749999999999999,0.9762027639199495,0.3296943231441048,0.583011583011583,0.4211994421199442,0.9553516929535557,0.3362983066663824,16873,307,108,151,17439,259,0.01485176902345318,0.3553008595988539
인천,LSTM,0.9249999999999999,0.9841734044383279,0.47017543859649125,0.5173745173745173,0.49264705882352944,0.9497611031953289,0.4875983060015737,17029,151,125,134,17439,259,0.01485176902345318,0.352
강화,Persistence,,0.9893629321308822,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.7761545213125084,0.3163392439937305,16998,92,92,116,17298,208,0.012024511504220141,
강화,XGBoost,0.94,0.9878598681928547,0.49473684210526314,0.4519230769230769,0.4723618090452261,0.9642417686906425,0.44913696431054406,16994,96,114,94,17298,208,0.012024511504220141,0.4444444444444444
강화,1D-CNN,0.8999999999999999,0.9832870691649318,0.34600760456273766,0.4375,0.386411889596603,0.9432206022729319,0.3035708958169412,16912,172,117,91,17292,208,0.012028683784408975,0.24060150375939848
강화,LSTM,0.95,0.9766365949572057,0.24210526315789474,0.4423076923076923,0.3129251700680272,0.9469479427444483,0.2411415536597556,16796,288,116,92,17292,208,0.012028683784408975,0.2122905027932961
동두천,Persistence,,0.9904440041953152,0.6330275229357798,0.6216216216216216,0.6272727272727273,0.8084495357222629,0.39839812977500355,8430,40,42,69,8581,111,0.01293555529658548,
동두천,XGBoost,0.945,0.9907936137979256,0.686046511627907,0.5315315315315315,0.5989847715736041,0.967635640362913,0.5636476900303575,8443,27,52,59,8581,111,0.01293555529658548,0.42857142857142855
동두천,1D-CNN,0.8499999999999999,0.9667638483965014,0.2229299363057325,0.6306306306306306,0.32941176470588235,0.9362493400773174,0.4564450380046023,8220,244,41,70,8575,111,0.01294460641399417,0.3312883435582822
동두천,LSTM,0.9299999999999999,0.9853061224489796,0.4418604651162791,0.5135135135135135,0.475,0.9469613753640218,0.48513192470569316,8392,72,54,57,8575,111,0.01294460641399417,0.35294117647058826
파주,Persistence,,0.9831359047674623,0.64,0.6384039900249376,0.6392009987515606,0.8148998917619907,0.4170397778675794,16592,144,145,256,17137,401,0.023399661551029936,
파주,XGBoost,0.9149999999999999,0.9666219291591294,0.38492597577388965,0.713216957605985,0.5,0.9668194773582297,0.5610715958195865,16279,457,115,286,17137,401,0.023399661551029936,0.563953488372093
파주,1D-CNN,0.825,0.9649174012024984,0.3263888888888889,0.4688279301745636,0.38485158648925283,0.9391922167086765,0.30537900250141525,16342,388,213,188,17131,401,0.023407857101161635,0.4281524926686217
파주,LSTM,0.95,0.9632245636565291,0.30017452006980805,0.428927680798005,0.3531827515400411,0.9344776134976367,0.27030930989338686,16329,401,229,172,17131,401,0.023407857101161635,0.4430769230769231
철원,Persistence,,0.9926840017628912,0.5714285714285714,0.5773195876288659,0.5743589743589743,0.7867927952369081,0.33351083405651244,11206,42,41,56,11345,97,0.008550022036139268,
철원,XGBoost,0.95,0.9910092551784927,0.45098039215686275,0.23711340206185566,0.3108108108108108,0.9721590825768797,0.32451157745049686,11220,28,74,23,11345,97,0.008550022036139268,0.44
철원,1D-CNN,0.595,0.972484346062263,0.15434083601286175,0.4948453608247423,0.23529411764705882,0.939986648008114,0.18133210892873003,10979,263,49,48,11339,97,0.008554546256283622,0.16666666666666666
철원,LSTM,0.82,0.9813034659141018,0.18232044198895028,0.3402061855670103,0.23741007194244604,0.9121464610802273,0.21649539684588903,11094,148,64,33,11339,97,0.008554546256283622,0.29545454545454547
춘천,Persistence,,0.9918013448153828,0.5828220858895705,0.572289156626506,0.5775075987841946,0.7841193221779182,0.33773056228558884,16720,68,71,95,16954,166,0.009791199716880972,
춘천,XGBoost,0.9049999999999999,0.9889111714049782,0.35135135135135137,0.1566265060240964,0.21666666666666667,0.9299689824343838,0.17204494932448033,16740,48,140,26,16954,166,0.009791199716880972,0.41904761904761906
춘천,1D-CNN,0.94,0.9873731413736134,0.15714285714285714,0.06626506024096386,0.09322033898305085,0.9185691640354768,0.11291957404765339,16723,59,155,11,16948,166,0.009794666037290536,0.2733812949640288
춘천,LSTM,0.95,0.9860750531036111,0.2222222222222222,0.1686746987951807,0.1917808219178082,0.9194091345718951,0.13812086077382804,16684,98,138,28,16948,166,0.009794666037290536,0.2430939226519337
인제,Persistence,,0.9961238033711165,0.25,0.25,0.25,0.6240284402049108,0.06443809831444176,16950,33,33,11,17027,44,0.0025841310859223586,
인제,XGBoost,0.6649999999999999,0.9898396664121689,0.04895104895104895,0.1590909090909091,0.0748663101604278,0.8322747881571411,0.022931792880736702,16847,136,37,7,17027,44,0.0025841310859223586,0.39285714285714285
인제,1D-CNN,0.8999999999999999,0.991539862522766,0.00980392156862745,0.022727272727272728,0.0136986301369863,0.7438459520099386,0.008673692136934136,16876,101,43,1,17021,44,0.0025850420069326125,0.1038961038961039
인제,LSTM,0.95,0.991481111568063,0.009708737864077669,0.022727272727272728,0.013605442176870748,0.7078587607833058,0.011986661300908218,16875,102,43,1,17021,44,0.0025850420069326125,0.14814814814814814
속초,Persistence,,0.9968420425430495,0.6,0.5909090909090909,0.5954198473282443,0.7946768939620528,0.35615422532541047,16691,26,27,39,16783,66,0.003932550795447774,
속초,XGBoost,0.845,0.9953524399690162,0.425,0.5151515151515151,0.4657534246575342,0.9622848089678262,0.4359785181563153,16671,46,32,34,16783,66,0.003932550795447774,0.28169014084507044
속초,1D-CNN,0.9199999999999999,0.9918936639446861,0.14285714285714285,0.21212121212121213,0.17073170731707318,0.8920943018842605,0.08737582906517666,16627,84,52,14,16777,66,0.003933957203314061,0.20588235294117646
속초,LSTM,0.83,0.9784824462061155,0.09141274238227147,0.5,0.15456674473067916,0.925883513490479,0.10177030592146034,16383,328,33,33,16777,66,0.003933957203314061,0.1440677966101695
서울,Persistence,,0.9962038421718624,0.45901639344262296,0.45901639344262296,0.45901639344262296,0.7285558157689307,0.21259412836314162,17292,33,33,28,17386,61,0.003508570113884735,
서울,XGBoost,0.06,0.9502473254342575,0.05530973451327434,0.819672131147541,0.10362694300518134,0.9690232536134176,0.21041587329003889,16471,854,11,50,17386,61,0.003508570113884735,0.019867549668874173
서울,1D-CNN,0.6699999999999999,0.9548906789413119,0.04642409033877039,0.6065573770491803,0.08624708624708624,0.9114068790175482,0.24129379188432723,16559,760,24,37,17380,61,0.0035097813578826237,0.014705882352941176
서울,LSTM,0.24999999999999994,0.8640391254315305,0.01921470342522974,0.7540983606557377,0.03747454175152749,0.8813167382737996,0.28309349690616953,14971,2348,15,46,17380,61,0.0035097813578826237,0.013875123885034688
