region,task,model,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,candidate_test,onset_test,onset_prevalence_test,val_f1
태백,onset_0_to_1,No-Onset Baseline,,0.9965152678518694,0.5,0.0,0.0,0.0,0.5,0.003484732148130648,16872,0,59,0,16931,59,0.003484732148130648,
태백,onset_0_to_1,XGBoost-Onset,0.8999999999999999,0.9913177012580474,0.6747358978068166,0.16153846153846155,0.3559322033898305,0.2222222222222222,0.9626087952359139,0.14280565583595548,16763,109,38,21,16931,59,0.003484732148130648,0.26373626373626374
태백,onset_0_to_1,1D-CNN-Onset,0.95,0.9950372208436724,0.5837082338092736,0.2222222222222222,0.1694915254237288,0.19230769230769232,0.9014111397945843,0.11700826502705865,16832,35,49,10,16926,59,0.0034857615502776793,0.3448275862068966
태백,onset_0_to_1,LSTM-Onset,0.95,0.9920241049273307,0.5990862711562945,0.12,0.2033898305084746,0.1509433962264151,0.9436930803605074,0.10230399434747904,16779,88,47,12,16926,59,0.0034857615502776793,0.2597402597402597
대관령,onset_0_to_1,No-Onset Baseline,,0.9845139435000907,0.5,0.0,0.0,0.0,0.5,0.015486056499909261,16275,0,256,0,16531,256,0.015486056499909261,
대관령,onset_0_to_1,XGBoost-Onset,0.8999999999999999,0.9819127699473716,0.5909543010752688,0.34532374100719426,0.1875,0.2430379746835443,0.933643793202765,0.21075775845186498,16184,91,208,48,16531,256,0.015486056499909261,0.2185792349726776
대관령,onset_0_to_1,1D-CNN-Onset,0.82,0.9719230303763766,0.6358649930854333,0.20786516853932585,0.2890625,0.24183006535947713,0.9040138099262445,0.15221607639182788,15988,282,182,74,16526,256,0.015490741861309451,0.20606060606060606
대관령,onset_0_to_1,LSTM-Onset,0.9099999999999999,0.9763403122352656,0.6111948755377996,0.23529411764705882,0.234375,0.23483365949119372,0.9065894860172097,0.16311463239726298,16075,195,196,60,16526,256,0.015490741861309451,0.19672131147540983
백령도,onset_0_to_1,No-Onset Baseline,,0.9869885085425913,0.5,0.0,0.0,0.0,0.5,0.013011491457408646,16233,0,214,0,16447,214,0.013011491457408646,
백령도,onset_0_to_1,XGBoost-Onset,0.8599999999999999,0.9697209217486472,0.7610131029960315,0.22586872586872586,0.5467289719626168,0.319672131147541,0.9562040748884094,0.24707789508324862,15832,401,97,117,16447,214,0.013011491457408646,0.3473684210526316
백령도,onset_0_to_1,1D-CNN-Onset,0.8099999999999999,0.965697603697847,0.7266968479540381,0.18525179856115107,0.48130841121495327,0.2675324675324675,0.9463826223971951,0.1864724637984879,15775,453,111,103,16442,214,0.013015448242306289,0.26570048309178745
백령도,onset_0_to_1,LSTM-Onset,0.8099999999999999,0.9577302031383044,0.7641620920573418,0.1673582295988935,0.5654205607476636,0.25827107790821774,0.9413549674152671,0.18002317499797374,15626,602,93,121,16442,214,0.013015448242306289,0.26506024096385544
인천,onset_0_to_1,No-Onset Baseline,,0.9951704876061911,0.5,0.0,0.0,0.0,0.5,0.0048295123938089145,17103,0,83,0,17186,83,0.0048295123938089145,
인천,onset_0_to_1,XGBoost-Onset,0.78,0.9801000814616548,0.7382175606477832,0.12023460410557185,0.4939759036144578,0.19339622641509435,0.9600866190599973,0.118090463319317,16803,300,42,41,17186,83,0.0048295123938089145,0.2131979695431472
인천,onset_0_to_1,1D-CNN-Onset,0.6699999999999999,0.9738082765845992,0.7830155573751316,0.1053763440860215,0.5903614457831325,0.17883211678832117,0.9574310812086808,0.09012493380659074,16682,416,34,49,17181,83,0.004830917874396135,0.2139917695473251
인천,onset_0_to_1,LSTM-Onset,0.8899999999999999,0.9845177812700076,0.6385249736811323,0.1038961038961039,0.2891566265060241,0.15286624203821655,0.9365789277122526,0.08268869037354111,16891,207,59,24,17181,83,0.004830917874396135,0.21301775147928995
강화,onset_0_to_1,No-Onset Baseline,,0.9946167349327092,0.5,0.0,0.0,0.0,0.5,0.0053832650672908135,16998,0,92,0,17090,92,0.0053832650672908135,
강화,onset_0_to_1,XGBoost-Onset,0.9299999999999999,0.9908133411351667,0.644032929705285,0.226890756302521,0.29347826086956524,0.2559241706161137,0.9557678141162389,0.15331096186765336,16906,92,65,27,17090,92,0.0053832650672908135,0.3157894736842105
강화,onset_0_to_1,1D-CNN-Onset,0.83,0.9867720222417325,0.6149750920455738,0.12359550561797752,0.2391304347826087,0.16296296296296298,0.9261927545613411,0.07501879647218959,16837,156,70,22,17085,92,0.005384840503365526,0.10869565217391304
강화,onset_0_to_1,LSTM-Onset,0.8599999999999999,0.9786947614866842,0.6865896187432677,0.10465116279069768,0.391304347826087,0.1651376146788991,0.9410697243622054,0.10047666740765367,16685,308,56,36,17085,92,0.005384840503365526,0.11347517730496454
동두천,onset_0_to_1,No-Onset Baseline,,0.9950424929178471,0.5,0.0,0.0,0.0,0.5,0.004957507082152974,8430,0,42,0,8472,42,0.004957507082152974,
동두천,onset_0_to_1,XGBoost-Onset,0.9099999999999999,0.9879603399433428,0.6504321301474326,0.1511627906976744,0.30952380952380953,0.203125,0.9467689092244252,0.14622632621439138,8357,73,29,13,8472,42,0.004957507082152974,0.3137254901960784
