source,task,station,model,metric,value
Table3,overall,Baengnyeongdo,Persistence,f1,0.738
Table3,overall,Baengnyeongdo,XGBoost,f1,0.747
Table3,overall,Baengnyeongdo,1D-CNN,f1,0.740
Table3,overall,Baengnyeongdo,LSTM,f1,0.729
Table3,overall,Daegwallyeong,Persistence,f1,0.608
Table3,overall,Daegwallyeong,XGBoost,f1,0.620
Table3,overall,Daegwallyeong,1D-CNN,f1,0.600
Table3,overall,Daegwallyeong,LSTM,f1,0.594
Table3,overall,Paju,Persistence,f1,0.645
Table3,overall,Paju,XGBoost,f1,0.658
Table3,overall,Paju,1D-CNN,f1,0.575
Table3,overall,Paju,LSTM,f1,0.626
Table3,overall,Incheon,Persistence,f1,0.682
Table3,overall,Incheon,XGBoost,f1,0.660
Table3,overall,Incheon,1D-CNN,f1,0.664
Table3,overall,Incheon,LSTM,f1,0.665
Table3,overall,Ganghwa,Persistence,f1,0.558
Table3,overall,Ganghwa,XGBoost,f1,0.579
Table3,overall,Ganghwa,1D-CNN,f1,0.513
Table3,overall,Ganghwa,LSTM,f1,0.553
Table3,overall,Dongducheon,Persistence,f1,0.562
Table3,overall,Dongducheon,XGBoost,f1,0.564
Table3,overall,Dongducheon,1D-CNN,f1,0.487
Table3,overall,Dongducheon,LSTM,f1,0.560
Table3,overall,Chuncheon,Persistence,f1,0.573
Table3,overall,Chuncheon,XGBoost,f1,0.584
Table3,overall,Chuncheon,1D-CNN,f1,0.495
Table3,overall,Chuncheon,LSTM,f1,0.558
Table3,overall,Taebaek,Persistence,f1,0.600
Table3,overall,Taebaek,XGBoost,f1,0.604
Table3,overall,Taebaek,1D-CNN,f1,0.533
Table3,overall,Taebaek,LSTM,f1,0.591
Table3,overall,Cheorwon,Persistence,f1,0.571
Table3,overall,Cheorwon,XGBoost,f1,0.546
Table3,overall,Cheorwon,1D-CNN,f1,0.483
Table3,overall,Cheorwon,LSTM,f1,0.543
Table3,overall,Sokcho,Persistence,f1,0.597
Table3,overall,Sokcho,XGBoost,f1,0.604
Table3,overall,Sokcho,1D-CNN,f1,0.453
Table3,overall,Sokcho,LSTM,f1,0.500
Table3,overall,Seoul,Persistence,f1,0.459
Table3,overall,Seoul,XGBoost,f1,0.489
Table3,overall,Seoul,1D-CNN,f1,0.412
Table3,overall,Seoul,LSTM,f1,0.449
Table3,overall,Inje,Persistence,f1,0.250
Table3,overall,Inje,XGBoost,f1,0.247
Table3,overall,Inje,1D-CNN,f1,0.186
Table3,overall,Inje,LSTM,f1,0.255
Table3,overall,MEAN,Persistence,f1,0.570
Table3,overall,MEAN,XGBoost,f1,0.575
Table3,overall,MEAN,1D-CNN,f1,0.512
Table3,overall,MEAN,LSTM,f1,0.552
Table3,overall,SD,Persistence,f1,0.117
Table3,overall,SD,XGBoost,f1,0.117
Table3,overall,SD,1D-CNN,f1,0.132
Table3,overall,SD,LSTM,f1,0.113
Table4,onset,MEAN,No-Onset Baseline,f1,0.000
Table4,onset,MEAN,XGBoost-Onset,f1,0.228
Table4,onset,MEAN,1D-CNN-Onset,f1,0.121
Table4,onset,MEAN,LSTM-Onset,f1,0.139
Table4,onset,SD,XGBoost-Onset,f1,0.057
Table4,onset,SD,1D-CNN-Onset,f1,0.065
Table4,onset,SD,LSTM-Onset,f1,0.042
Table4,onset,MEAN,XGBoost-Onset,pr_auc,0.159
Table4,onset,MEAN,1D-CNN-Onset,pr_auc,0.089
Table4,onset,MEAN,LSTM-Onset,pr_auc,0.091
Table2,overall,ALL,-,n_00,203617
Table2,overall,ALL,-,n_01,1148
Table2,overall,ALL,-,n_10,1150
Table2,overall,ALL,-,n_11,1997
Methods,-,-,XGBoost,n_estimators,250
Methods,-,-,XGBoost,max_depth,5
Methods,-,-,XGBoost,learning_rate,0.03
Methods,-,-,XGBoost,subsample,0.6
Methods,-,-,XGBoost,colsample_bytree,0.6
Methods,-,-,XGBoost,mean_scale_pos_weight_overall,55.4
Methods,-,-,XGBoost,mean_scale_pos_weight_onset,168.2
Methods,-,-,deep,seq_len,6
Methods,-,-,deep,n_input_variables,14
Methods,-,-,deep,batch_size,512
Methods,-,-,deep,max_epochs,15
Methods,-,-,deep,learning_rate,0.001
Methods,-,-,deep,early_stopping_patience,3
Methods,-,-,deep,dropout,0.3
Methods,-,-,cnn,conv_channels_1,32
Methods,-,-,cnn,conv_channels_2,64
Methods,-,-,cnn,kernel_size,3
Methods,-,-,lstm,hidden_size,64
Methods,-,-,lstm,num_layers,1
Methods,-,-,threshold,xgb_overall_selected,0.94
Methods,-,-,threshold,xgb_onset_selected,0.94
