error_type,vis_now_10m,vis_tplus1_10m,station
FP,112.0,149.0,Taebaek
FN,149.0,85.0,Taebaek
TP,85.0,81.0,Taebaek
FP,81.0,122.0,Taebaek
FP,122.0,126.0,Taebaek
FP,126.0,175.0,Taebaek
FN,739.0,99.0,Taebaek
FN,281.0,91.0,Taebaek
TP,91.0,65.0,Taebaek
TP,65.0,83.0,Taebaek
TP,83.0,64.0,Taebaek
FP,64.0,207.0,Taebaek
FP,119.0,309.0,Taebaek
FN,259.0,53.0,Taebaek
FP,53.0,115.0,Taebaek
FP,115.0,302.0,Taebaek
FN,267.0,54.0,Taebaek
TP,54.0,32.0,Taebaek
FP,32.0,267.0,Taebaek
FN,267.0,34.0,Taebaek
TP,34.0,21.0,Taebaek
TP,21.0,16.0,Taebaek
TP,16.0,50.0,Taebaek
FP,50.0,704.0,Taebaek
FN,142.0,68.0,Taebaek
FP,68.0,188.0,Taebaek
FP,188.0,164.0,Taebaek
FP,141.0,1579.0,Taebaek
FN,298.0,56.0,Taebaek
FP,163.0,154.0,Taebaek
TP,154.0,23.0,Taebaek
TP,23.0,16.0,Taebaek
TP,16.0,16.0,Taebaek
TP,16.0,20.0,Taebaek
TP,20.0,19.0,Taebaek
FP,19.0,131.0,Taebaek
FN,899.0,25.0,Taebaek
TP,25.0,18.0,Taebaek
TP,18.0,33.0,Taebaek
FP,33.0,1035.0,Taebaek
FN,503.0,83.0,Taebaek
FP,347.0,330.0,Taebaek
FP,330.0,685.0,Taebaek
FP,127.0,131.0,Taebaek
FP,131.0,328.0,Taebaek
FN,379.0,33.0,Taebaek
TP,33.0,51.0,Taebaek
TP,51.0,15.0,Taebaek
TP,15.0,75.0,Taebaek
FP,75.0,405.0,Taebaek
FN,402.0,93.0,Taebaek
FP,93.0,223.0,Taebaek
FP,223.0,381.0,Taebaek
FP,114.0,966.0,Taebaek
FN,132.0,79.0,Taebaek
FN,256.0,87.0,Taebaek
FN,236.0,42.0,Taebaek
TP,42.0,28.0,Taebaek
TP,28.0,40.0,Taebaek
TP,40.0,54.0,Taebaek
TP,54.0,23.0,Taebaek
TP,23.0,28.0,Taebaek
TP,28.0,36.0,Taebaek
FN,409.0,86.0,Taebaek
TP,86.0,67.0,Taebaek
TP,67.0,34.0,Taebaek
FP,34.0,1137.0,Taebaek
FP,105.0,198.0,Taebaek
TP,213.0,70.0,Taebaek
TP,70.0,82.0,Taebaek
FP,82.0,264.0,Taebaek
FN,548.0,92.0,Taebaek
TP,92.0,30.0,Taebaek
TP,30.0,24.0,Taebaek
TP,24.0,30.0,Taebaek
TP,30.0,24.0,Taebaek
TP,24.0,16.0,Taebaek
TP,16.0,16.0,Taebaek
TP,16.0,14.0,Taebaek
TP,14.0,16.0,Taebaek
TP,16.0,13.0,Taebaek
TP,13.0,12.0,Taebaek
FP,12.0,122.0,Taebaek
FP,122.0,1708.0,Taebaek
FP,186.0,745.0,Taebaek
FN,106.0,11.0,Taebaek
TP,11.0,68.0,Taebaek
FP,68.0,166.0,Taebaek
FN,138.0,77.0,Taebaek
FP,77.0,112.0,Taebaek
FP,112.0,109.0,Taebaek
FP,109.0,113.0,Taebaek
FP,113.0,125.0,Taebaek
FN,125.0,98.0,Taebaek
FP,98.0,162.0,Taebaek
FN,162.0,86.0,Taebaek
TP,86.0,76.0,Taebaek
TP,76.0,96.0,Taebaek
TP,96.0,91.0,Taebaek
FP,91.0,132.0,Taebaek
FN,132.0,67.0,Taebaek
TP,67.0,62.0,Taebaek
TP,62.0,73.0,Taebaek
FP,73.0,121.0,Taebaek
FN,121.0,62.0,Taebaek
TP,62.0,62.0,Taebaek
TP,62.0,98.0,Taebaek
TP,98.0,94.0,Taebaek
TP,94.0,85.0,Taebaek
FP,85.0,106.0,Taebaek
FP,106.0,109.0,Taebaek
FP,109.0,204.0,Taebaek
FN,303.0,43.0,Taebaek
TP,43.0,40.0,Taebaek
FP,40.0,341.0,Taebaek
FP,114.0,109.0,Taebaek
FP,109.0,134.0,Taebaek
TP,134.0,95.0,Taebaek
TP,95.0,77.0,Taebaek
TP,77.0,54.0,Taebaek
TP,54.0,74.0,Taebaek
TP,74.0,70.0,Taebaek
TP,70.0,49.0,Taebaek
TP,49.0,66.0,Taebaek
TP,66.0,48.0,Taebaek
TP,48.0,73.0,Taebaek
TP,73.0,95.0,Taebaek
TP,95.0,72.0,Taebaek
TP,72.0,87.0,Taebaek
TP,87.0,70.0,Taebaek
FP,70.0,283.0,Taebaek
FP,102.0,269.0,Taebaek
FN,269.0,100.0,Taebaek
FP,141.0,166.0,Taebaek
FP,166.0,464.0,Taebaek
FN,115.0,47.0,Taebaek
FP,47.0,114.0,Taebaek
FP,114.0,572.0,Taebaek
FN,1357.0,11.0,Taebaek
FN,213.0,61.0,Taebaek
FP,61.0,364.0,Taebaek
FP,114.0,215.0,Taebaek
FP,122.0,628.0,Taebaek
FP,142.0,255.0,Taebaek
FP,152.0,121.0,Taebaek
FP,121.0,141.0,Taebaek
FP,141.0,140.0,Taebaek
FP,140.0,160.0,Taebaek
FN,157.0,62.0,Taebaek
TP,62.0,63.0,Taebaek
FP,63.0,106.0,Taebaek
TP,106.0,50.0,Taebaek
TP,50.0,59.0,Taebaek
TP,59.0,80.0,Taebaek
FP,80.0,139.0,Taebaek
FP,139.0,149.0,Taebaek
FN,1457.0,85.0,Taebaek
FN,138.0,98.0,Taebaek
FP,98.0,221.0,Taebaek
FN,148.0,74.0,Taebaek
FP,74.0,723.0,Taebaek
FP,112.0,408.0,Taebaek
FN,398.0,77.0,Taebaek
FN,260.0,98.0,Taebaek
FP,102.0,462.0,Taebaek
FN,207.0,83.0,Taebaek
TP,83.0,64.0,Taebaek
TP,64.0,72.0,Taebaek
TP,72.0,78.0,Taebaek
TP,78.0,67.0,Taebaek
TP,67.0,84.0,Taebaek
FP,84.0,151.0,Taebaek
TP,18.0,25.0,Taebaek
TP,25.0,34.0,Taebaek
TP,34.0,19.0,Taebaek
FP,19.0,773.0,Taebaek
FN,230.0,91.0,Taebaek
FP,91.0,111.0,Taebaek
FP,111.0,234.0,Taebaek
FN,1873.0,29.0,Taebaek
FN,29.0,57.0,Taebaek
TP,57.0,22.0,Taebaek
TP,22.0,27.0,Taebaek
FN,566.0,65.0,Taebaek
FN,434.0,28.0,Taebaek
FN,143.0,21.0,Taebaek
TP,21.0,34.0,Taebaek
TP,34.0,15.0,Taebaek
TP,15.0,14.0,Taebaek
TP,14.0,24.0,Taebaek
TP,24.0,29.0,Taebaek
TP,29.0,27.0,Taebaek
FN,460.0,46.0,Taebaek
FN,366.0,34.0,Taebaek
FN,109.0,54.0,Taebaek
FN,207.0,26.0,Taebaek
FP,26.0,242.0,Taebaek
TP,153.0,49.0,Taebaek
TP,49.0,95.0,Taebaek
FP,95.0,831.0,Taebaek
FN,2059.0,44.0,Taebaek
FN,44.0,78.0,Taebaek
FP,78.0,387.0,Taebaek
FN,1286.0,82.0,Taebaek
FN,141.0,23.0,Taebaek
TP,23.0,37.0,Taebaek
TP,37.0,49.0,Taebaek
