station,n_total,n_fog,fog_ratio,fog_percent,n_test,n_fog_test_tplus1,fog_prevalence_test
Taebaek,84591,700,0.008275112009551843,0.828,17085,151,0.00883816213052385
Daegwallyeong,85282,2969,0.03481391149363289,3.481,17180,656,0.03818393480791618
Baengnyeongdo,85611,5225,0.06103187674481083,6.103,17256,816,0.04728789986091794
Incheon,86114,1505,0.017476833035278815,1.748,17438,259,0.014852620713384562
Ganghwa,78418,1146,0.014613991685582391,1.461,17291,208,0.012029379445954542
Dongducheon,61768,1169,0.018925657298277426,1.893,8578,111,0.012940079272557706
Paju,74668,1533,0.020530883377082552,2.053,17126,401,0.023414691112927714
Cheorwon,64842,839,0.012939144381727892,1.294,8518,94,0.011035454332002818
Chuncheon,85198,771,0.009049508204417944,0.905,16947,166,0.00979524399598749
Inje,57776,200,0.0034616449736914984,0.346,17020,44,0.0025851938895417154
Sokcho,85266,357,0.004186897473787911,0.419,16779,66,0.003933488288932595
Seoul,86011,160,0.0018602271802443874,0.186,17379,61,0.0035099833131940848
