station,common_eval_fog_prevalence_percent,XGBoost_minus_Persistence_f1,1D-CNN_minus_Persistence_f1,LSTM_minus_Persistence_f1
Baengnyeongdo,4.78,0.0071,-0.1012,-0.0286
Daegwallyeong,3.8375,0.0156,-0.0615,-0.0648
Paju,2.3345,-0.0006,-0.1836,-0.0567
Incheon,1.4766,-0.0092,-0.174,-0.1111
Cheorwon,1.3054,-0.1282,-0.2663,-0.2558
Dongducheon,1.2856,0.0033,-0.0258,-0.0326
Ganghwa,1.2125,-0.0034,-0.1738,-0.1211
Chuncheon,0.9646,-0.1608,-0.3585,-0.179
Taebaek,0.8698,-0.0158,-0.251,-0.1078
Sokcho,0.3736,-0.0543,-0.3423,-0.2142
Seoul,0.326,-0.2642,-0.3569,-0.3793
Inje,0.2533,-0.2337,-0.2075,-0.2271
