feature,mean_abs_shap,rank
시정(10m),2.070037931203842,1
dew_point_depression,0.6913118784626325,2
vis_lag_1,0.6518637103339037,3
습도(%),0.47564416999618214,4
air_ground_diff,0.2393316999077797,5
현지기압(hPa),0.23803447435299555,6
vis_lag_2,0.22069825728734335,7
vis_lag_3,0.18789429993679127,8
dpd_ratio,0.1801594061156114,9
풍속(m/s),0.1779698651904861,10
rel_humid,0.17594390735030174,11
hour,0.17238199897110462,12
지면온도(°C),0.16350965139766535,13
ground_air_diff_1h,0.14867217714587846,14
humidity_lag_3,0.13266601817061505,15
humid_roll_std_2h,0.1312423131118218,16
기온(°C),0.1247210381552577,17
month_sin,0.11873606747637193,18
temp_lag_3,0.11588641349226236,19
ground_air_diff,0.10754554392769933,20
humidity_lag_2,0.10440907596300046,21
이슬점온도(°C),0.09482766315340996,22
month_cos,0.09005434190233548,23
humidity_lag_1,0.07685676279167335,24
temp_lag_1,0.07436336763203144,25
temp_lag_2,0.0676950157309572,26
temp_roll_mean_2h,0.06328939739614725,27
weekday,0.05679567204788327,28
is_weekend,0.00855273730121553,29
