station,split,n_rows,start,end,n_fog_tplus1,fog_prevalence,n_onset_candidates,n_onset,onset_prevalence
Taebaek,train,58798,2015-03-31 22:00:00,2021-12-31 23:00:00,486,0.008265587264872955,58315,208,0.003566835291091486
Taebaek,val,8708,2022-01-01 00:00:00,2022-12-31 23:00:00,63,0.007234726688102894,8645,27,0.0031231925968768074
Taebaek,test,17085,2023-01-01 00:00:00,2024-12-31 22:00:00,151,0.00883816213052385,16931,59,0.003484732148130648
Taebaek,all,84591,2015-03-31 22:00:00,2024-12-31 22:00:00,700,0.008275112009551843,83891,294,0.0035045475676771048
Daegwallyeong,train,59428,2015-01-01 06:00:00,2021-12-30 23:00:00,2012,0.03385609477014202,57416,805,0.014020482095583113
Daegwallyeong,val,8674,2022-01-01 04:00:00,2022-12-30 23:00:00,302,0.034816693566981784,8373,109,0.013018034157410725
Daegwallyeong,test,17180,2023-01-01 04:00:00,2024-12-30 23:00:00,656,0.03818393480791618,16524,256,0.015492616799806342
Daegwallyeong,all,85282,2015-01-01 06:00:00,2024-12-30 23:00:00,2970,0.03482563729743674,82313,1170,0.014214036664925347
Baengnyeongdo,train,59651,2015-01-01 04:00:00,2021-12-30 23:00:00,3970,0.06655378786608775,55678,813,0.014601817594022773
Baengnyeongdo,val,8704,2022-01-01 04:00:00,2022-12-30 23:00:00,436,0.050091911764705885,8268,114,0.013788098693759071
Baengnyeongdo,test,17256,2023-01-01 04:00:00,2024-12-30 23:00:00,816,0.04728789986091794,16440,214,0.013017031630170317
Baengnyeongdo,all,85611,2015-01-01 04:00:00,2024-12-30 23:00:00,5222,0.06099683451892864,80386,1141,0.014194013883014455
Incheon,train,59969,2015-01-01 06:00:00,2021-12-30 23:00:00,1117,0.01862629024996248,58851,366,0.006219095682316358
Incheon,val,8707,2022-01-01 04:00:00,2022-12-30 23:00:00,128,0.014700815435856208,8579,53,0.006177876209348409
Incheon,test,17438,2023-01-01 04:00:00,2024-12-30 23:00:00,259,0.014852620713384562,17179,83,0.0048314802957098784
Incheon,all,86114,2015-01-01 06:00:00,2024-12-30 23:00:00,1504,0.017465220521634114,84609,502,0.005933174957746812
Ganghwa,train,54838,2015-03-31 22:00:00,2021-12-30 18:00:00,888,0.016193150734891863,53952,363,0.006728202846975089
Ganghwa,val,6289,2022-01-01 04:00:00,2022-12-30 23:00:00,52,0.008268405151852442,6237,26,0.004168670835337502
Ganghwa,test,17291,2023-01-01 04:00:00,2024-12-30 23:00:00,208,0.012029379445954542,17083,92,0.005385470936018264
Ganghwa,all,78418,2015-03-31 22:00:00,2024-12-30 23:00:00,1148,0.01463949603407381,77272,481,0.006224764468371467
Dongducheon,train,46538,2015-01-22 12:00:00,2021-12-31 22:00:00,1008,0.021659718939361382,45527,401,0.008807960111582138
Dongducheon,val,6652,2022-01-01 04:00:00,2022-12-31 22:00:00,49,0.007366205652435358,6603,21,0.0031803725579282144
Dongducheon,test,8578,2023-01-01 04:00:00,2023-12-31 22:00:00,111,0.012940079272557706,8469,42,0.00495926319518243
Dongducheon,all,61768,2015-01-22 12:00:00,2023-12-31 22:00:00,1168,0.018909467685532963,60599,464,0.007656892027921253
Paju,train,49322,2015-01-22 12:00:00,2021-12-30 23:00:00,977,0.019808604679453386,48342,325,0.006722932439700468
Paju,val,8220,2022-01-01 04:00:00,2022-12-30 23:00:00,156,0.01897810218978102,8067,47,0.005826205528697162
Paju,test,17126,2023-01-01 04:00:00,2024-12-30 23:00:00,401,0.023414691112927714,16726,145,0.0086691378691857
Paju,all,74668,2015-01-22 12:00:00,2024-12-30 23:00:00,1534,0.020544275995071516,73135,517,0.007069118752991044
Cheorwon,train,52831,2015-01-01 06:00:00,2021-12-30 09:00:00,710,0.0134390793284246,52119,270,0.005180452426178553
Cheorwon,val,3493,2022-01-01 04:00:00,2022-12-31 22:00:00,34,0.009733753220727169,3459,15,0.004336513443191674
Cheorwon,test,8518,2023-01-01 04:00:00,2024-12-31 22:00:00,94,0.011035454332002818,8425,40,0.004747774480712166
Cheorwon,all,64842,2015-01-01 06:00:00,2024-12-31 22:00:00,838,0.012923722278769933,64003,325,0.0050778869740480915
Chuncheon,train,59696,2015-01-01 06:00:00,2021-12-31 22:00:00,565,0.00946462074510855,59129,208,0.0035177324155659657
Chuncheon,val,8555,2022-01-01 04:00:00,2022-12-31 22:00:00,42,0.004909409701928697,8514,23,0.0027014329339910734
Chuncheon,test,16947,2023-01-01 04:00:00,2024-12-31 22:00:00,166,0.00979524399598749,16784,71,0.004230219256434699
Chuncheon,all,85198,2015-01-01 06:00:00,2024-12-31 22:00:00,773,0.009072982933871687,84427,302,0.003577054733675246
Inje,train,35504,2015-02-17 17:00:00,2021-12-31 09:00:00,140,0.003943217665615142,35368,51,0.0014419814521601448
Inje,val,5252,2022-01-01 04:00:00,2022-12-31 22:00:00,21,0.003998476770753999,5232,7,0.001337920489296636
Inje,test,17020,2023-01-01 05:00:00,2024-12-31 22:00:00,44,0.0025851938895417154,16976,33,0.0019439208294062206
Inje,all,57776,2015-02-17 17:00:00,2024-12-31 22:00:00,205,0.0035481860980337856,57576,91,0.0015805196609698486
Sokcho,train,59902,2015-01-01 06:00:00,2021-12-31 22:00:00,266,0.004440586290941872,59636,113,0.001894828627003823
Sokcho,val,8585,2022-01-01 04:00:00,2022-12-31 22:00:00,26,0.0030285381479324405,8559,16,0.0018693772636990303
Sokcho,test,16779,2023-01-01 04:00:00,2024-12-31 22:00:00,66,0.003933488288932595,16714,27,0.0016154122292688763
Sokcho,all,85266,2015-01-01 06:00:00,2024-12-31 22:00:00,358,0.0041986254779161685,84909,156,0.001837261067731336
Seoul,train,59917,2015-01-01 06:00:00,2021-12-30 23:00:00,89,0.001485388120232989,59830,55,0.0009192712685943507
Seoul,val,8715,2022-01-01 04:00:00,2022-12-30 23:00:00,13,0.001491681009753299,8703,12,0.0013788348845225785
Seoul,test,17379,2023-01-01 04:00:00,2024-12-30 23:00:00,61,0.0035099833131940848,17318,33,0.0019055318166069984
Seoul,all,86011,2015-01-01 06:00:00,2024-12-30 23:00:00,163,0.0018951064398739696,85851,100,0.0011648087966360321
