station,task,model,seed,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,n_test,n_positive_test,positive_prevalence_test,val_f1,scale_pos_weight,best_epoch,n_train_sequences
Baengnyeongdo,overall,Persistence,,,0.97492824087634,0.8622899590472917,0.7377450980392157,0.7377450980392157,0.7377450980392157,0.8622899590472917,0.556803709242722,602,214,16041,214,17071,816,0.04780036318903404,,,,
Baengnyeongdo,overall,XGBoost,42.0,0.83,0.973756663347197,0.891938000977075,0.6957446808510638,0.8014705882352942,0.744874715261959,0.9831661148002726,0.7800171651211096,654,286,15969,162,17071,816,0.04780036318903404,0.7521739130434782,14.02544080604534,,
Baengnyeongdo,overall,1D-CNN,42.0,0.63,0.9562415792865093,0.8827408308755678,0.5278450363196125,0.8014705882352942,0.6364963503649635,0.9744011269533959,0.651100855157479,654,585,15670,162,17071,816,0.04780036318903404,0.6515151515151515,,14.0,58601.0
Baengnyeongdo,overall,LSTM,42.0,0.8499999999999999,0.9697732997481109,0.8752967035783862,0.6565762004175365,0.7708333333333334,0.7091319052987599,0.9813356825350872,0.7331975330516215,629,329,15926,187,17071,816,0.04780036318903404,0.7263045793397231,,12.0,58601.0
Baengnyeongdo,overall,XGBoost,1337.0,0.845,0.9741667154823971,0.8840055246952672,0.7071823204419889,0.7843137254901961,0.7437536316095293,0.9832923203116989,0.7823610261180997,640,265,15990,176,17071,816,0.04780036318903404,0.7497219132369299,14.02544080604534,,
Baengnyeongdo,overall,1D-CNN,1337.0,0.84,0.9645012008669673,0.8783481779362006,0.598314606741573,0.7830882352941176,0.678343949044586,0.9774227462439912,0.6938583207920082,639,429,15826,177,17071,816,0.04780036318903404,0.6948453608247422,,15.0,58601.0
Baengnyeongdo,overall,LSTM,1337.0,0.7949999999999999,0.9690703532306251,0.8365165544839899,0.6718377088305489,0.6899509803921569,0.6807738814993954,0.9787989819120513,0.6924424137803801,563,275,15980,253,17071,816,0.04780036318903404,0.6897321428571429,,5.0,58601.0
Baengnyeongdo,overall,XGBoost,2024.0,0.835,0.9740495577294828,0.88976385848095,0.7011866235167206,0.7965686274509803,0.7458405048766494,0.9834984409020453,0.7823049036953365,650,277,15978,166,17071,816,0.04780036318903404,0.7543859649122807,14.02544080604534,,
Baengnyeongdo,overall,1D-CNN,2024.0,0.845,0.9676058813191963,0.8677567535780846,0.6351490236382322,0.7573529411764706,0.6908887646730016,0.9775151386300444,0.7008957829051993,618,355,15900,198,17071,816,0.04780036318903404,0.7028753993610224,,15.0,58601.0
Baengnyeongdo,overall,LSTM,2024.0,0.7799999999999999,0.9661999882842247,0.8833141084794423,0.6134852801519468,0.7916666666666666,0.6912787586944891,0.9795960971284853,0.7096071089289778,646,407,15848,170,17071,816,0.04780036318903404,0.7028154327424401,,10.0,58601.0
