station,task,model,seed,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,n_test,n_positive_test,positive_prevalence_test,val_f1,scale_pos_weight,best_epoch,n_train_sequences
Taebaek,overall,Persistence,,,0.9930294906166219,0.7995969199281767,0.5986394557823129,0.6027397260273972,0.6006825938566553,0.7995969199281766,0.3642792477574721,88,59,16580,58,16785,146,0.008698242478403336,,,,
Taebaek,overall,XGBoost,42.0,0.94,0.992135835567471,0.8161192099433003,0.5406976744186046,0.636986301369863,0.5849056603773585,0.9809504325124913,0.5845127217016276,93,79,16560,53,16785,146,0.008698242478403336,0.6176470588235294,119.98353909465021,,
Taebaek,overall,1D-CNN,42.0,0.94,0.985820673220137,0.7144903004741295,0.2909090909090909,0.4383561643835616,0.34972677595628415,0.9748428967428395,0.22089516286003516,64,156,16483,82,16785,146,0.008698242478403336,0.4878048780487805,,9.0,57774.0
Taebaek,overall,LSTM,42.0,0.9249999999999999,0.9915400655347036,0.7343481274806589,0.5149253731343284,0.4726027397260274,0.4928571428571429,0.9777062800961925,0.3923697308260861,69,65,16574,77,16785,146,0.008698242478403336,0.5409836065573771,,4.0,57774.0
Taebaek,onset,No-Onset Baseline,,,0.9965140040870297,0.5,0.0,0.0,0.0,0.5,0.003485995912970309,0,0,16580,58,16638,58,0.003485995912970309,,,,
Taebaek,onset,XGBoost-Onset,42.0,0.9249999999999999,0.9935689385743479,0.5930181772804792,0.15492957746478872,0.1896551724137931,0.17054263565891473,0.9577305436545901,0.12177214467572074,11,60,16520,47,16638,58,0.003485995912970309,0.26666666666666666,279.3605769230769,,
Taebaek,onset,1D-CNN-Onset,42.0,0.9199999999999999,0.9895420122610891,0.5909976706459797,0.07971014492753623,0.1896551724137931,0.11224489795918367,0.9498471361424234,0.0598253879388343,11,127,16453,47,16638,58,0.003485995912970309,0.18181818181818182,,7.0,57300.0
Taebaek,onset,LSTM-Onset,42.0,0.945,0.9929679047962495,0.6013071419658085,0.14457831325301204,0.20689655172413793,0.1702127659574468,0.9510492491992846,0.1056059913560374,12,71,16509,46,16638,58,0.003485995912970309,0.3013698630136986,,5.0,57300.0
Daegwallyeong,overall,Persistence,,,0.9701660735468565,0.7975143212780478,0.6114551083591331,0.6105100463678517,0.6109822119102861,0.7975143212780479,0.38824610577327595,395,251,15962,252,16860,647,0.03837485172004745,,,,
Daegwallyeong,overall,XGBoost,42.0,0.8699999999999999,0.9705219454329774,0.8140224356759145,0.6096491228070176,0.6445131375579598,0.6265965439519159,0.9680882715618041,0.6386028739362979,417,267,15946,230,16860,647,0.03837485172004745,0.6401326699834162,28.536779324055665,,
Daegwallyeong,overall,1D-CNN,42.0,0.8099999999999999,0.958185053380783,0.8172532851163858,0.4684095860566449,0.6646058732612056,0.549520766773163,0.9556240813109025,0.5159828142019999,430,488,15725,217,16860,647,0.03837485172004745,0.5163934426229508,,12.0,57750.0
Daegwallyeong,overall,LSTM,42.0,0.9099999999999999,0.9661921708185054,0.7568662581241931,0.5632183908045977,0.5301391035548686,0.5461783439490446,0.9601247820384943,0.5481010797091007,343,266,15947,304,16860,647,0.03837485172004745,0.5467889908256881,,12.0,57750.0
Daegwallyeong,onset,No-Onset Baseline,,,0.9844578759097077,0.5,0.0,0.0,0.0,0.5,0.01554212409029234,0,0,15962,252,16214,252,0.01554212409029234,,,,
Daegwallyeong,onset,XGBoost-Onset,42.0,0.825,0.9747132108054768,0.6610389655590758,0.25914634146341464,0.3373015873015873,0.29310344827586204,0.9333217980004096,0.21651761059284821,85,243,15719,167,16214,252,0.01554212409029234,0.20618556701030927,70.32422360248447,,
Daegwallyeong,onset,1D-CNN-Onset,42.0,0.8749999999999999,0.9686690514370297,0.640393951507847,0.18627450980392157,0.30158730158730157,0.23030303030303031,0.9154261211647503,0.16740349879270447,76,332,15630,176,16214,252,0.01554212409029234,0.20512820512820512,,11.0,55813.0
Daegwallyeong,onset,LSTM-Onset,42.0,0.9149999999999999,0.9806340199827309,0.5878868065624111,0.2987012987012987,0.18253968253968253,0.22660098522167488,0.9233146480828476,0.21685495916338346,46,108,15854,206,16214,252,0.01554212409029234,0.18888888888888888,,13.0,55813.0
Baengnyeongdo,overall,Persistence,,,0.97492824087634,0.8622899590472917,0.7377450980392157,0.7377450980392157,0.7377450980392157,0.8622899590472917,0.556803709242722,602,214,16041,214,17071,816,0.04780036318903404,,,,
Baengnyeongdo,overall,XGBoost,42.0,0.83,0.973756663347197,0.891938000977075,0.6957446808510638,0.8014705882352942,0.744874715261959,0.9831661148002726,0.7800171651211096,654,286,15969,162,17071,816,0.04780036318903404,0.7521739130434782,14.02544080604534,,
Baengnyeongdo,overall,1D-CNN,42.0,0.63,0.9562415792865093,0.8827408308755678,0.5278450363196125,0.8014705882352942,0.6364963503649635,0.9744011269533959,0.651100855157479,654,585,15670,162,17071,816,0.04780036318903404,0.6515151515151515,,14.0,58601.0
Baengnyeongdo,overall,LSTM,42.0,0.8499999999999999,0.9697732997481109,0.8752967035783862,0.6565762004175365,0.7708333333333334,0.7091319052987599,0.9813356825350872,0.7331975330516215,629,329,15926,187,17071,816,0.04780036318903404,0.7263045793397231,,12.0,58601.0
Baengnyeongdo,onset,No-Onset Baseline,,,0.9868348200553676,0.5,0.0,0.0,0.0,0.5,0.01316517994463242,0,0,16041,214,16255,214,0.01316517994463242,,,,
Baengnyeongdo,onset,XGBoost-Onset,42.0,0.8949999999999999,0.9754537065518302,0.71323498138823,0.25333333333333335,0.4439252336448598,0.3225806451612903,0.9545047241676848,0.2603199203213642,95,280,15761,119,16255,214,0.01316517994463242,0.34285714285714286,67.48462484624847,,
Baengnyeongdo,onset,1D-CNN-Onset,42.0,0.8599999999999999,0.9765610581359582,0.6400271325755789,0.2150170648464164,0.29439252336448596,0.2485207100591716,0.9211879372192867,0.181253529206184,63,230,15811,151,16255,214,0.01316517994463242,0.22377622377622378,,3.0,54671.0
Baengnyeongdo,onset,LSTM-Onset,42.0,0.8799999999999999,0.9742848354352507,0.687284685796385,0.22580645161290322,0.3925233644859813,0.28668941979522183,0.9532349056477357,0.21907411470694346,84,288,15753,130,16255,214,0.01316517994463242,0.3279742765273312,,5.0,54671.0
Incheon,overall,Persistence,,,0.9905243576328334,0.8361930146683045,0.6798418972332015,0.6771653543307087,0.6785009861932939,0.8361930146683045,0.4651322667999948,172,81,16867,82,17202,254,0.014765724915707476,,,,
Incheon,overall,XGBoost,42.0,0.9349999999999999,0.9904080920823161,0.8264390010016744,0.6816326530612244,0.65748031496063,0.6693386773547094,0.9851244845279401,0.7038538685522953,167,78,16870,87,17202,254,0.014765724915707476,0.5589519650655022,52.68755595344673,,
Incheon,overall,1D-CNN,42.0,0.7749999999999999,0.980816184164632,0.8235101719200371,0.4077669902912621,0.6614173228346457,0.5045045045045045,0.9704921863820598,0.4845493479510477,168,244,16704,86,17202,254,0.014765724915707476,0.3935483870967742,,3.0,58797.0
Incheon,overall,LSTM,42.0,0.8699999999999999,0.9839553540286013,0.8503103053527324,0.4713541666666667,0.7125984251968503,0.567398119122257,0.9796087708767345,0.6409602353218793,181,203,16745,73,17202,254,0.014765724915707476,0.5142857142857142,,7.0,58797.0
Incheon,onset,No-Onset Baseline,,,0.9951619564576081,0.5,0.0,0.0,0.0,0.5,0.004838043542391882,0,0,16867,82,16949,82,0.004838043542391882,,,,
Incheon,onset,XGBoost-Onset,42.0,0.725,0.9801758215823942,0.7594588654133414,0.1286549707602339,0.5365853658536586,0.20754716981132076,0.952931615638561,0.11625151692190658,44,298,16569,38,16949,82,0.004838043542391882,0.23414634146341465,159.79508196721312,,
Incheon,onset,1D-CNN-Onset,42.0,0.845,0.9857808720278483,0.6166450002675161,0.10050251256281408,0.24390243902439024,0.1423487544483986,0.9401053001459048,0.06884453850088469,20,179,16688,62,16949,82,0.004838043542391882,0.2033898305084746,,7.0,57694.0
Incheon,onset,LSTM-Onset,42.0,0.735,0.971679745117706,0.7673260096566106,0.09387755102040816,0.5609756097560976,0.16083916083916083,0.9536090822460368,0.11789453469423437,46,444,16423,36,16949,82,0.004838043542391882,0.20905923344947736,,7.0,57694.0
Ganghwa,overall,Persistence,,,0.9894055326662743,0.7788722731774136,0.5631067961165048,0.5631067961165048,0.5631067961165048,0.7788722731774136,0.3223864974994578,116,90,16694,90,16990,206,0.012124779281930547,,,,
Ganghwa,overall,XGBoost,42.0,0.8649999999999999,0.9874043555032372,0.8258072875692986,0.4857142857142857,0.6601941747572816,0.5596707818930041,0.9772847695910114,0.5626811663926639,136,144,16640,70,16990,206,0.012124779281930547,0.5378151260504201,60.7545045045045,,
Ganghwa,overall,1D-CNN,42.0,0.9299999999999999,0.9824602707474985,0.7250117425749905,0.33687943262411346,0.46116504854368934,0.38934426229508196,0.9565458203374458,0.33760205822897266,95,187,16597,111,16990,206,0.012124779281930547,0.38461538461538464,,3.0,52295.0
Ganghwa,overall,LSTM,42.0,0.8999999999999999,0.9821659799882284,0.784797645931863,0.3560830860534125,0.5825242718446602,0.4419889502762431,0.967641686025526,0.4386705038734816,120,217,16567,86,16990,206,0.012124779281930547,0.4090909090909091,,3.0,52295.0
Ganghwa,onset,No-Onset Baseline,,,0.9946377502383222,0.5,0.0,0.0,0.0,0.5,0.005362249761677788,0,0,16694,90,16784,90,0.005362249761677788,,,,
