station,task,model,seed,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,n_test,n_positive_test,positive_prevalence_test,val_f1
Taebaek,overall,XGBoost (thr=0.5),42,0.5,0.9731307715221924,0.9185553498259165,0.22621184919210055,0.863013698630137,0.3584637268847795,0.9809504325124913,0.5845127217016276,126,431,16208,20,16785,146,0.008698242478403336,
Taebaek,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9664623151821132,0.8285429058691403,0.06896551724137931,0.6896551724137931,0.12539184952978055,0.9577305436545901,0.12177214467572074,40,540,16040,18,16638,58,0.003485995912970309,
Daegwallyeong,overall,XGBoost (thr=0.5),42,0.5,0.9329774614472124,0.8865038655129249,0.34568690095846644,0.8361669242658424,0.4891500904159132,0.9680882715618041,0.6386028739362979,541,1024,15189,106,16860,647,0.03837485172004745,
Daegwallyeong,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9097076600468731,0.8135392986915353,0.11450381679389313,0.7142857142857143,0.19736842105263158,0.9333217980004096,0.21651761059284821,180,1392,14570,72,16214,252,0.01554212409029234,
Baengnyeongdo,overall,XGBoost (thr=0.5),42,0.5,0.9513795325405658,0.9273285821557168,0.49528301886792453,0.9007352941176471,0.6391304347826087,0.9831661148002726,0.7800171651211096,735,749,15506,81,17071,816,0.04780036318903404,
Baengnyeongdo,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9258074438634266,0.8586712961587335,0.12706766917293233,0.7897196261682243,0.2189119170984456,0.9545047241676848,0.2603199203213642,169,1161,14880,45,16255,214,0.01316517994463242,
Incheon,overall,XGBoost (thr=0.5),42,0.5,0.9754679688408324,0.9119290781064451,0.3595317725752508,0.8464566929133859,0.5046948356807511,0.9851244845279401,0.7038538685522953,215,383,16565,39,17202,254,0.014765724915707476,
Incheon,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9721517493657443,0.7918348282907741,0.10204081632653061,0.6097560975609756,0.17482517482517482,0.952931615638561,0.11625151692190658,50,440,16427,32,16949,82,0.004838043542391882,
Ganghwa,overall,XGBoost (thr=0.5),42,0.5,0.9690406121247793,0.8884345470026933,0.254601226993865,0.8058252427184466,0.38694638694638694,0.9772847695910114,0.5626811663926639,166,486,16298,40,16990,206,0.012124779281930547,
Ganghwa,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9629408960915157,0.8045512026942481,0.08950617283950617,0.6444444444444445,0.15718157181571815,0.9502216365161135,0.15455083502020156,58,590,16104,32,16784,90,0.005362249761677788,
Dongducheon,overall,XGBoost (thr=0.5),42,0.5,0.9520295202952029,0.8980236567207507,0.19077568134171907,0.8425925925925926,0.3111111111111111,0.9801729258500027,0.6812312856855668,91,386,7907,17,8401,108,0.012855612427092013,
Dongducheon,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9387582881253768,0.8161150864639237,0.05162523900573614,0.6923076923076923,0.09608540925266904,0.9493018286622938,0.12197764169458687,27,496,7760,12,8295,39,0.004701627486437613,
Paju,overall,XGBoost (thr=0.5),42,0.5,0.9143232431786973,0.9249325122756833,0.20608108108108109,0.9360613810741688,0.3377941855099216,0.978007898088455,0.6906330021791319,366,1410,14948,25,16749,391,0.023344677294166817,
