station,task,model,threshold,val_f1
Taebaek,overall,XGBoost,0.94,0.6176470588235294
Taebaek,overall,1D-CNN,0.94,0.4878048780487805
Taebaek,overall,LSTM,0.925,0.5409836065573771
Taebaek,onset,XGBoost-Onset,0.925,0.2666666666666666
Taebaek,onset,1D-CNN-Onset,0.92,0.1818181818181818
Taebaek,onset,LSTM-Onset,0.945,0.3013698630136986
Daegwallyeong,overall,XGBoost,0.8699999999999999,0.6401326699834162
Daegwallyeong,overall,1D-CNN,0.8099999999999999,0.5163934426229508
Daegwallyeong,overall,LSTM,0.91,0.5467889908256881
Daegwallyeong,onset,XGBoost-Onset,0.825,0.2061855670103092
Daegwallyeong,onset,1D-CNN-Onset,0.8749999999999999,0.2051282051282051
Daegwallyeong,onset,LSTM-Onset,0.915,0.1888888888888888
Baengnyeongdo,overall,XGBoost,0.83,0.7521739130434782
Baengnyeongdo,overall,1D-CNN,0.63,0.6515151515151515
Baengnyeongdo,overall,LSTM,0.8499999999999999,0.7263045793397231
Baengnyeongdo,onset,XGBoost-Onset,0.8949999999999999,0.3428571428571428
Baengnyeongdo,onset,1D-CNN-Onset,0.8599999999999999,0.2237762237762237
Baengnyeongdo,onset,LSTM-Onset,0.8799999999999999,0.3279742765273312
Incheon,overall,XGBoost,0.935,0.5589519650655022
Incheon,overall,1D-CNN,0.7749999999999999,0.3935483870967742
Incheon,overall,LSTM,0.8699999999999999,0.5142857142857142
Incheon,onset,XGBoost-Onset,0.725,0.2341463414634146
Incheon,onset,1D-CNN-Onset,0.845,0.2033898305084746
Incheon,onset,LSTM-Onset,0.735,0.2090592334494773
Ganghwa,overall,XGBoost,0.8649999999999999,0.5378151260504201
Ganghwa,overall,1D-CNN,0.93,0.3846153846153846
Ganghwa,overall,LSTM,0.8999999999999999,0.4090909090909091
Ganghwa,onset,XGBoost-Onset,0.8899999999999999,0.3272727272727272
Ganghwa,onset,1D-CNN-Onset,0.93,0.1904761904761904
Ganghwa,onset,LSTM-Onset,0.925,0.2083333333333333
Dongducheon,overall,XGBoost,0.92,0.6326530612244898
Dongducheon,overall,1D-CNN,0.93,0.5747126436781609
Dongducheon,overall,LSTM,0.91,0.5979381443298969
Dongducheon,onset,XGBoost-Onset,0.93,0.2666666666666666
Dongducheon,onset,1D-CNN-Onset,0.8999999999999999,0.1951219512195122
Dongducheon,onset,LSTM-Onset,0.925,0.3333333333333333
Paju,overall,XGBoost,0.935,0.7108433734939759
Paju,overall,1D-CNN,0.945,0.5830903790087464
Paju,overall,LSTM,0.95,0.6586102719033232
Paju,onset,XGBoost-Onset,0.94,0.2461538461538461
Paju,onset,1D-CNN-Onset,0.935,0.2434782608695652
Paju,onset,LSTM-Onset,0.95,0.2285714285714285
Cheorwon,overall,XGBoost,0.925,0.6071428571428571
Cheorwon,overall,1D-CNN,0.8099999999999999,0.3571428571428571
Cheorwon,overall,LSTM,0.8699999999999999,0.4347826086956521
Cheorwon,onset,XGBoost-Onset,0.82,0.3076923076923077
Cheorwon,onset,1D-CNN-Onset,0.73,0.1153846153846153
Cheorwon,onset,LSTM-Onset,0.7799999999999999,0.2142857142857142
Chuncheon,overall,XGBoost,0.8849999999999999,0.5148514851485149
Chuncheon,overall,1D-CNN,0.93,0.3181818181818182
Chuncheon,overall,LSTM,0.8949999999999999,0.3939393939393939
Chuncheon,onset,XGBoost-Onset,0.91,0.2857142857142857
Chuncheon,onset,1D-CNN-Onset,0.92,0.1971830985915492
Chuncheon,onset,LSTM-Onset,0.95,0.2166666666666666
Inje,overall,XGBoost,0.94,0.6
Inje,overall,1D-CNN,0.945,0.2222222222222222
Inje,overall,LSTM,0.92,0.3157894736842105
Inje,onset,XGBoost-Onset,0.93,0.1818181818181818
Inje,onset,1D-CNN-Onset,0.5149999999999999,0.0212765957446808
Inje,onset,LSTM-Onset,0.5399999999999999,0.0229885057471264
Sokcho,overall,XGBoost,0.8899999999999999,0.3846153846153846
Sokcho,overall,1D-CNN,0.95,0.1650485436893204
Sokcho,overall,LSTM,0.95,0.2428571428571428
Sokcho,onset,XGBoost-Onset,0.915,0.3181818181818182
Sokcho,onset,1D-CNN-Onset,0.8699999999999999,0.0666666666666666
Sokcho,onset,LSTM-Onset,0.95,0.1451612903225806
Seoul,overall,XGBoost,0.09,0.0428571428571428
Seoul,overall,1D-CNN,0.8499999999999999,0.032520325203252
Seoul,overall,LSTM,0.5449999999999999,0.0339622641509433
Seoul,onset,XGBoost-Onset,0.0999999999999999,0.0329670329670329
Seoul,onset,1D-CNN-Onset,0.615,0.1176470588235294
Seoul,onset,LSTM-Onset,0.8899999999999999,0.0353982300884955
