station,scope,n_00,n_01,n_10,n_11,n_total
Taebaek,test,16872,59,62,92,17085
Taebaek,all,83597,294,294,406,84591
Daegwallyeong,test,16268,256,256,400,17180
Daegwallyeong,all,81143,1170,1169,1800,85282
Baengnyeongdo,test,16226,214,214,602,17256
Baengnyeongdo,all,79245,1141,1144,4081,85611
Incheon,test,17096,83,83,176,17438
Incheon,all,84107,502,503,1002,86114
Ganghwa,test,16991,92,92,116,17291
Ganghwa,all,76791,481,479,667,78418
Dongducheon,test,8427,42,40,69,8578
Dongducheon,all,60135,464,465,704,61768
Paju,test,16581,145,144,256,17126
Paju,all,72618,517,516,1017,74668
Cheorwon,test,8385,40,39,54,8518
Cheorwon,all,63678,325,326,513,64842
Chuncheon,test,16713,71,68,95,16947
Chuncheon,all,84125,302,300,471,85198
Inje,test,16943,33,33,11,17020
Inje,all,57485,91,86,114,57776
Sokcho,test,16687,27,26,39,16779
Sokcho,all,84753,156,155,202,85266
Seoul,test,17285,33,33,28,17379
Seoul,all,85751,100,97,63,86011
