station,model,transition,n_positive,n_detected,recall
Taebaek,Persistence,0->1,58,0,0.0
Taebaek,Persistence,1->1,88,88,1.0
Taebaek,Persistence,false_alarm,16639,59,
Taebaek,XGBoost,0->1,58,7,0.1206896551724138
Taebaek,XGBoost,1->1,88,86,0.9772727272727273
Taebaek,XGBoost,false_alarm,16639,79,
Taebaek,1D-CNN,0->1,58,12,0.20689655172413793
Taebaek,1D-CNN,1->1,88,52,0.5909090909090909
Taebaek,1D-CNN,false_alarm,16639,156,
Taebaek,LSTM,0->1,58,7,0.1206896551724138
Taebaek,LSTM,1->1,88,62,0.7045454545454546
Taebaek,LSTM,false_alarm,16639,65,
Daegwallyeong,Persistence,0->1,252,0,0.0
Daegwallyeong,Persistence,1->1,395,395,1.0
Daegwallyeong,Persistence,false_alarm,16213,251,
Daegwallyeong,XGBoost,0->1,252,46,0.18253968253968253
Daegwallyeong,XGBoost,1->1,395,371,0.9392405063291139
Daegwallyeong,XGBoost,false_alarm,16213,267,
Daegwallyeong,1D-CNN,0->1,252,81,0.32142857142857145
Daegwallyeong,1D-CNN,1->1,395,349,0.8835443037974684
Daegwallyeong,1D-CNN,false_alarm,16213,488,
Daegwallyeong,LSTM,0->1,252,54,0.21428571428571427
Daegwallyeong,LSTM,1->1,395,289,0.7316455696202532
Daegwallyeong,LSTM,false_alarm,16213,266,
Baengnyeongdo,Persistence,0->1,214,0,0.0
Baengnyeongdo,Persistence,1->1,602,602,1.0
Baengnyeongdo,Persistence,false_alarm,16255,214,
Baengnyeongdo,XGBoost,0->1,214,57,0.26635514018691586
Baengnyeongdo,XGBoost,1->1,602,597,0.9916943521594684
Baengnyeongdo,XGBoost,false_alarm,16255,286,
Baengnyeongdo,1D-CNN,0->1,214,103,0.48130841121495327
Baengnyeongdo,1D-CNN,1->1,602,551,0.915282392026578
Baengnyeongdo,1D-CNN,false_alarm,16255,585,
Baengnyeongdo,LSTM,0->1,214,64,0.29906542056074764
Baengnyeongdo,LSTM,1->1,602,565,0.9385382059800664
Baengnyeongdo,LSTM,false_alarm,16255,329,
Incheon,Persistence,0->1,82,0,0.0
Incheon,Persistence,1->1,172,172,1.0
Incheon,Persistence,false_alarm,16948,81,
Incheon,XGBoost,0->1,82,8,0.0975609756097561
Incheon,XGBoost,1->1,172,159,0.9244186046511628
Incheon,XGBoost,false_alarm,16948,78,
Incheon,1D-CNN,0->1,82,26,0.3170731707317073
Incheon,1D-CNN,1->1,172,142,0.8255813953488372
Incheon,1D-CNN,false_alarm,16948,244,
Incheon,LSTM,0->1,82,19,0.23170731707317074
Incheon,LSTM,1->1,172,162,0.9418604651162791
Incheon,LSTM,false_alarm,16948,203,
Ganghwa,Persistence,0->1,90,0,0.0
Ganghwa,Persistence,1->1,116,116,1.0
Ganghwa,Persistence,false_alarm,16784,90,
Ganghwa,XGBoost,0->1,90,26,0.28888888888888886
Ganghwa,XGBoost,1->1,116,110,0.9482758620689655
Ganghwa,XGBoost,false_alarm,16784,144,
Ganghwa,1D-CNN,0->1,90,24,0.26666666666666666
Ganghwa,1D-CNN,1->1,116,71,0.6120689655172413
Ganghwa,1D-CNN,false_alarm,16784,187,
Ganghwa,LSTM,0->1,90,32,0.35555555555555557
Ganghwa,LSTM,1->1,116,88,0.7586206896551724
