item,task,station,model,manuscript_v5,legacy_result_csv,reproduced,diff_repro_minus_manuscript,diff_legacy_minus_manuscript,provenance_status
Table 3 F1,overall,Baengnyeongdo,Persistence,0.738,0.7377450980392157,0.7377,-0.0003,-0.0003,A: manuscript matches a stored result
Table 3 F1,overall,Baengnyeongdo,XGBoost,0.747,0.6415289256198347,0.7449,-0.0021,-0.1055,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Baengnyeongdo,1D-CNN,0.74,0.5189655172413793,0.6365,-0.1035,-0.221,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Baengnyeongdo,LSTM,0.729,0.5594949004371054,0.7091,-0.0199,-0.1695,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Daegwallyeong,Persistence,0.608,0.6097560975609756,0.611,0.003,0.0018,A: manuscript matches a stored result
Table 3 F1,overall,Daegwallyeong,XGBoost,0.62,0.5414448669201521,0.6266,0.0066,-0.0786,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Daegwallyeong,1D-CNN,0.6,0.3963328631875881,0.5495,-0.0505,-0.2037,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Daegwallyeong,LSTM,0.594,0.3822055137844611,0.5462,-0.0478,-0.2118,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Paju,Persistence,0.645,0.6392009987515606,0.6325,-0.0125,-0.0058,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Paju,XGBoost,0.658,0.5,0.6319,-0.0261,-0.158,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Paju,1D-CNN,0.575,0.3848515864892528,0.4489,-0.1261,-0.1901,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Paju,LSTM,0.626,0.3531827515400411,0.5759,-0.0501,-0.2728,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Incheon,Persistence,0.682,0.6795366795366795,0.6785,-0.0035,-0.0025,A: manuscript matches a stored result
Table 3 F1,overall,Incheon,XGBoost,0.66,0.4957983193277311,0.6693,0.0093,-0.1642,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Incheon,1D-CNN,0.664,0.4211994421199442,0.5045,-0.1595,-0.2428,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Incheon,LSTM,0.665,0.4926470588235294,0.5674,-0.0976,-0.1724,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Ganghwa,Persistence,0.558,0.5576923076923077,0.5631,0.0051,-0.0003,A: manuscript matches a stored result
Table 3 F1,overall,Ganghwa,XGBoost,0.579,0.4723618090452261,0.5597,-0.0193,-0.1066,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Ganghwa,1D-CNN,0.513,0.386411889596603,0.3893,-0.1237,-0.1266,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Ganghwa,LSTM,0.553,0.3129251700680272,0.442,-0.111,-0.2401,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Dongducheon,Persistence,0.562,0.6272727272727273,0.6449,0.0829,0.0653,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Dongducheon,XGBoost,0.564,0.5989847715736041,0.6481,0.0841,0.035,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Dongducheon,1D-CNN,0.487,0.3294117647058823,0.619,0.132,-0.1576,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Dongducheon,LSTM,0.56,0.475,0.6122,0.0522,-0.085,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Chuncheon,Persistence,0.573,0.5775075987841946,0.5778,0.0048,0.0045,A: manuscript matches a stored result
Table 3 F1,overall,Chuncheon,XGBoost,0.584,0.2166666666666666,0.417,-0.167,-0.3673,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Chuncheon,1D-CNN,0.495,0.0932203389830508,0.2193,-0.2757,-0.4018,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Chuncheon,LSTM,0.558,0.1917808219178082,0.3988,-0.1592,-0.3662,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Taebaek,Persistence,0.6,0.6032786885245902,0.6007,0.0007,0.0033,A: manuscript matches a stored result
Table 3 F1,overall,Taebaek,XGBoost,0.604,0.5032679738562091,0.5849,-0.0191,-0.1007,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Taebaek,1D-CNN,0.533,0.2653721682847896,0.3497,-0.1833,-0.2676,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Taebaek,LSTM,0.591,0.2291169451073985,0.4929,-0.0981,-0.3619,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Cheorwon,Persistence,0.571,0.5743589743589743,0.6154,0.0444,0.0034,"B: manuscript traceable, but reproduction differs"
Table 3 F1,overall,Cheorwon,XGBoost,0.546,0.3108108108108108,0.4872,-0.0588,-0.2352,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Cheorwon,1D-CNN,0.483,0.2352941176470588,0.3491,-0.1339,-0.2477,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Cheorwon,LSTM,0.543,0.237410071942446,0.3596,-0.1834,-0.3056,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Sokcho,Persistence,0.597,0.5954198473282443,0.562,-0.035,-0.0016,"B: manuscript traceable, but reproduction differs"
Table 3 F1,overall,Sokcho,XGBoost,0.604,0.4657534246575342,0.5077,-0.0963,-0.1382,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Sokcho,1D-CNN,0.453,0.1707317073170731,0.2197,-0.2333,-0.2823,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Sokcho,LSTM,0.5,0.1545667447306791,0.3478,-0.1522,-0.3454,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Seoul,Persistence,0.459,0.4590163934426229,0.4464,-0.0126,0.0,A: manuscript matches a stored result
Table 3 F1,overall,Seoul,XGBoost,0.489,0.1036269430051813,0.1822,-0.3068,-0.3854,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Seoul,1D-CNN,0.412,0.0862470862470862,0.0895,-0.3225,-0.3258,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Seoul,LSTM,0.449,0.0374745417515274,0.0671,-0.3819,-0.4115,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Inje,Persistence,0.25,0.25,0.2619,0.0119,0.0,A: manuscript matches a stored result
Table 3 F1,overall,Inje,XGBoost,0.247,0.0748663101604278,0.0282,-0.2188,-0.1721,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Inje,1D-CNN,0.186,0.0136986301369863,0.0544,-0.1316,-0.1723,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Inje,LSTM,0.255,0.0136054421768707,0.0348,-0.2202,-0.2414,D/E: manuscript value has NO matching stored result
