station,n_total,n_fog,fog_ratio,fog_percent,n_test,n_fog_test_tplus1,fog_prevalence_test
Baengnyeongdo,85611,5225,0.0610318767448108,6.103,17256,816,0.0472878998609179
Daegwallyeong,85282,2969,0.0348139114936328,3.481,17180,656,0.0381839348079161
Paju,74668,1533,0.0205308833770825,2.053,17126,401,0.0234146911129277
Dongducheon,61768,1169,0.0189256572982774,1.893,8578,111,0.0129400792725577
Incheon,86114,1505,0.0174768330352788,1.748,17438,259,0.0148526207133845
Ganghwa,78418,1146,0.0146139916855823,1.461,17291,208,0.0120293794459545
Cheorwon,64842,839,0.0129391443817278,1.294,8518,94,0.0110354543320028
Chuncheon,85198,771,0.0090495082044179,0.905,16947,166,0.0097952439959874
Taebaek,84591,700,0.0082751120095518,0.828,17085,151,0.0088381621305238
Sokcho,85266,357,0.0041868974737879,0.419,16779,66,0.0039334882889325
Inje,57776,200,0.0034616449736914,0.346,17020,44,0.0025851938895417
Seoul,86011,160,0.0018602271802443,0.186,17379,61,0.003509983313194
