station,No-Onset Baseline,XGBoost-Onset,1D-CNN-Onset,LSTM-Onset
Baengnyeongdo,0.0,0.323,0.249,0.287
Daegwallyeong,0.0,0.293,0.23,0.227
Paju,0.0,0.272,0.202,0.252
Incheon,0.0,0.208,0.142,0.161
Ganghwa,0.0,0.264,0.192,0.168
Dongducheon,0.0,0.253,0.172,0.198
Chuncheon,0.0,0.067,0.091,0.185
Taebaek,0.0,0.171,0.112,0.17
Cheorwon,0.0,0.107,0.081,0.172
Sokcho,0.0,0.233,0.047,0.068
Seoul,0.0,0.063,0.149,0.08
Inje,0.0,0.0,0.022,0.021
Mean,0.0,0.188,0.141,0.166
SD,0.0,0.105,0.072,0.077
Mean±SD,0.000±0.000,0.188±0.105,0.141±0.072,0.166±0.077
