station,No-Onset Baseline,XGBoost-Onset,1D-CNN-Onset,LSTM-Onset
Baengnyeongdo,0.013,0.26,0.181,0.219
Daegwallyeong,0.016,0.217,0.167,0.217
Paju,0.009,0.177,0.13,0.175
Incheon,0.005,0.116,0.069,0.118
Ganghwa,0.005,0.155,0.122,0.172
Dongducheon,0.005,0.122,0.1,0.229
Chuncheon,0.004,0.105,0.054,0.108
Taebaek,0.003,0.122,0.06,0.106
Cheorwon,0.005,0.077,0.036,0.103
Sokcho,0.002,0.16,0.016,0.026
Seoul,0.002,0.076,0.109,0.178
Inje,0.002,0.014,0.008,0.009
Mean,0.006,0.133,0.088,0.138
SD,0.004,0.066,0.057,0.073
Mean±SD,0.006±0.004,0.133±0.066,0.088±0.057,0.138±0.073
