station,Persistence,XGBoost,1D-CNN,LSTM
Baengnyeongdo,0.738,0.745,0.636,0.709
Daegwallyeong,0.611,0.627,0.55,0.546
Paju,0.633,0.632,0.449,0.576
Incheon,0.679,0.669,0.505,0.567
Ganghwa,0.563,0.56,0.389,0.442
Dongducheon,0.645,0.648,0.619,0.612
Chuncheon,0.578,0.417,0.219,0.399
Taebaek,0.601,0.585,0.35,0.493
Cheorwon,0.615,0.487,0.349,0.36
Sokcho,0.562,0.508,0.22,0.348
Seoul,0.446,0.182,0.09,0.067
Inje,0.262,0.028,0.054,0.035
Mean,0.578,0.507,0.369,0.429
SD,0.122,0.21,0.194,0.207
Mean±SD,0.578±0.122,0.507±0.210,0.369±0.194,0.429±0.207
