station,task,model,seed,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,n_test,n_positive_test,positive_prevalence_test,val_f1,scale_pos_weight,best_epoch,n_train_sequences
Baengnyeongdo,overall,1D-CNN,42.0,0.63,0.9562415792865092,0.8827408308755678,0.5278450363196125,0.8014705882352942,0.6364963503649635,0.974401126953396,0.651100855157479,654,585,15670,162,17071,816,0.047800363189034,0.6515151515151515,,14.0,58601.0
Baengnyeongdo,overall,LSTM,42.0,0.8499999999999999,0.9697732997481108,0.8752967035783862,0.6565762004175365,0.7708333333333334,0.7091319052987599,0.9813356825350872,0.7331975330516215,629,329,15926,187,17071,816,0.047800363189034,0.7263045793397231,,12.0,58601.0
Baengnyeongdo,overall,Persistence,,,0.97492824087634,0.8622899590472917,0.7377450980392157,0.7377450980392157,0.7377450980392157,0.8622899590472917,0.556803709242722,602,214,16041,214,17071,816,0.047800363189034,,,,
Baengnyeongdo,overall,XGBoost,42.0,0.83,0.973756663347197,0.891938000977075,0.6957446808510638,0.8014705882352942,0.744874715261959,0.9831661148002726,0.7800171651211096,654,286,15969,162,17071,816,0.047800363189034,0.7521739130434782,14.02544080604534,,
Cheorwon,overall,1D-CNN,42.0,0.8099999999999999,0.978295061340044,0.7155608889742235,0.2868217054263566,0.4457831325301205,0.3490566037735849,0.9399337589401432,0.2719120277380007,37,92,6183,46,6358,83,0.013054419628814,0.3571428571428571,,10.0,49480.0
Cheorwon,overall,LSTM,42.0,0.8699999999999999,0.982069833280906,0.6877511640186242,0.3368421052631579,0.3855421686746988,0.3595505617977528,0.965105361685787,0.3124628314451823,32,63,6212,51,6358,83,0.013054419628814,0.4347826086956521,,5.0,49480.0
Cheorwon,overall,Persistence,,,0.9897766593268325,0.8105438487015793,0.6046511627906976,0.6265060240963856,0.6153846153846154,0.8105438487015793,0.3836933430555363,52,34,6241,31,6358,83,0.013054419628814,,,,
Cheorwon,overall,XGBoost,42.0,0.925,0.9874174268637936,0.7261268180290884,0.5205479452054794,0.4578313253012048,0.4871794871794871,0.979288628618058,0.4952554499106508,38,35,6240,45,6358,83,0.013054419628814,0.6071428571428571,73.40985915492958,,
Chuncheon,overall,1D-CNN,42.0,0.93,0.9857437515166222,0.6004351469270999,0.2323943661971831,0.2075471698113207,0.2192691029900332,0.9631398383850058,0.1867974622562849,33,109,16216,126,16484,159,0.0096457170589662,0.3181818181818182,,5.0,58326.0
Chuncheon,overall,LSTM,42.0,0.8949999999999999,0.9881096821159912,0.7012784728442505,0.3892215568862275,0.4088050314465409,0.3987730061349693,0.961586485210976,0.28739746868465,65,102,16223,94,16484,159,0.0096457170589662,0.3939393939393939,,3.0,58326.0
Chuncheon,overall,Persistence,,,0.9919315700072798,0.7841727103739875,0.5833333333333334,0.5723270440251572,0.5777777777777777,0.7841727103739875,0.3379826546751134,91,65,16260,68,16484,159,0.0096457170589662,,,,
Chuncheon,overall,XGBoost,42.0,0.8849999999999999,0.9908396020383402,0.6684024386720218,0.54,0.3396226415094339,0.416988416988417,0.9761913567761756,0.389863737980352,54,46,16279,105,16484,159,0.0096457170589662,0.5148514851485149,104.6566371681416,,
Daegwallyeong,overall,1D-CNN,42.0,0.8099999999999999,0.958185053380783,0.8172532851163858,0.4684095860566449,0.6646058732612056,0.549520766773163,0.9556240813109024,0.5159828142019999,430,488,15725,217,16860,647,0.0383748517200474,0.5163934426229508,,12.0,57750.0
Daegwallyeong,overall,LSTM,42.0,0.91,0.9661921708185054,0.7568662581241931,0.5632183908045977,0.5301391035548686,0.5461783439490446,0.9601247820384944,0.5481010797091007,343,266,15947,304,16860,647,0.0383748517200474,0.5467889908256881,,12.0,57750.0
Daegwallyeong,overall,Persistence,,,0.9701660735468564,0.7975143212780478,0.6114551083591331,0.6105100463678517,0.6109822119102861,0.7975143212780479,0.3882461057732759,395,251,15962,252,16860,647,0.0383748517200474,,,,
Daegwallyeong,overall,XGBoost,42.0,0.8699999999999999,0.9705219454329774,0.8140224356759145,0.6096491228070176,0.6445131375579598,0.6265965439519159,0.968088271561804,0.6386028739362979,417,267,15946,230,16860,647,0.0383748517200474,0.6401326699834162,28.536779324055665,,
Dongducheon,overall,1D-CNN,42.0,0.93,0.99047732412808,0.7986951288681663,0.6372549019607843,0.6018518518518519,0.6190476190476191,0.9741906382446596,0.6287149108535309,65,37,8256,43,8401,108,0.012855612427092,0.5747126436781609,,8.0,43196.0
Dongducheon,overall,LSTM,42.0,0.91,0.988691822402095,0.8434841298551656,0.5474452554744526,0.6944444444444444,0.6122448979591837,0.9844715087691092,0.6373813602190224,75,62,8231,33,8401,108,0.012855612427092,0.5979381443298969,,12.0,43196.0
Dongducheon,overall,Persistence,,,0.990953457921676,0.8172136473866849,0.6509433962264151,0.6388888888888888,0.6448598130841121,0.8172136473866849,0.420522807632215,69,37,8256,39,8401,108,0.012855612427092,,,,
Dongducheon,overall,XGBoost,42.0,0.92,0.990953457921676,0.8217829852039427,0.6481481481481481,0.6481481481481481,0.6481481481481481,0.9801729258500028,0.6812312856855668,70,38,8255,38,8401,108,0.012855612427092,0.6326530612244898,45.16865079365079,,
Ganghwa,overall,1D-CNN,42.0,0.93,0.9824602707474984,0.7250117425749905,0.3368794326241134,0.4611650485436893,0.3893442622950819,0.9565458203374458,0.3376020582289726,95,187,16597,111,16990,206,0.0121247792819305,0.3846153846153846,,3.0,52295.0
Ganghwa,overall,LSTM,42.0,0.8999999999999999,0.9821659799882284,0.784797645931863,0.3560830860534125,0.5825242718446602,0.4419889502762431,0.967641686025526,0.4386705038734816,120,217,16567,86,16990,206,0.0121247792819305,0.4090909090909091,,3.0,52295.0
Ganghwa,overall,Persistence,,,0.9894055326662744,0.7788722731774136,0.5631067961165048,0.5631067961165048,0.5631067961165048,0.7788722731774136,0.3223864974994578,116,90,16694,90,16990,206,0.0121247792819305,,,,
Ganghwa,overall,XGBoost,42.0,0.8649999999999999,0.9874043555032372,0.8258072875692986,0.4857142857142857,0.6601941747572816,0.5596707818930041,0.9772847695910114,0.5626811663926639,136,144,16640,70,16990,206,0.0121247792819305,0.5378151260504201,60.7545045045045,,
Incheon,overall,1D-CNN,42.0,0.7749999999999999,0.980816184164632,0.8235101719200371,0.4077669902912621,0.6614173228346457,0.5045045045045045,0.9704921863820598,0.4845493479510477,168,244,16704,86,17202,254,0.0147657249157074,0.3935483870967742,,3.0,58797.0
Incheon,overall,LSTM,42.0,0.8699999999999999,0.9839553540286012,0.8503103053527324,0.4713541666666667,0.7125984251968503,0.567398119122257,0.9796087708767344,0.6409602353218793,181,203,16745,73,17202,254,0.0147657249157074,0.5142857142857142,,7.0,58797.0
Incheon,overall,Persistence,,,0.9905243576328334,0.8361930146683045,0.6798418972332015,0.6771653543307087,0.6785009861932939,0.8361930146683045,0.4651322667999948,172,81,16867,82,17202,254,0.0147657249157074,,,,
Incheon,overall,XGBoost,42.0,0.935,0.990408092082316,0.8264390010016744,0.6816326530612244,0.65748031496063,0.6693386773547094,0.98512448452794,0.7038538685522953,167,78,16870,87,17202,254,0.0147657249157074,0.5589519650655022,52.68755595344673,,
Inje,overall,1D-CNN,42.0,0.945,0.9916158996320646,0.5445652893799474,0.0380952380952381,0.0952380952380952,0.0544217687074829,0.8830760459229953,0.0297314214114356,4,101,16436,38,16579,42,0.0025333252910308,0.2222222222222222,,11.0,30071.0
Inje,overall,LSTM,42.0,0.92,0.9933047831594184,0.5216628224731267,0.0273972602739726,0.0476190476190476,0.0347826086956521,0.8689864287010082,0.0276244137794595,2,71,16466,40,16579,42,0.0025333252910308,0.3157894736842105,,5.0,30071.0
Inje,overall,Persistence,,,0.9962603293322878,0.6300150888195878,0.2619047619047619,0.2619047619047619,0.2619047619047619,0.6300150888195878,0.0704639396422461,11,31,16506,31,16579,42,0.0025333252910308,,,,
Inje,overall,XGBoost,42.0,0.94,0.9958381084504494,0.5110581754622391,0.0344827586206896,0.0238095238095238,0.028169014084507,0.9172116206947192,0.0513160223182907,1,28,16509,41,16579,42,0.0025333252910308,0.6,252.6,,
Paju,overall,1D-CNN,42.0,0.945,0.9577885246880412,0.8498245303532939,0.3228699551569506,0.7365728900255755,0.4489477786438036,0.9623486822500016,0.4525961124705528,288,604,15754,103,16749,391,0.0233446772941668,0.5830903790087464,,6.0,47217.0
Paju,overall,LSTM,42.0,0.95,0.9754612215654666,0.8476382345280111,0.4826989619377163,0.7135549872122762,0.5758513931888545,0.974472785866368,0.5819271054675687,279,299,16059,112,16749,391,0.0233446772941668,0.6586102719033232,,8.0,47217.0
Paju,overall,Persistence,,,0.9828646486357394,0.8114858274997194,0.6333333333333333,0.6317135549872123,0.6325224071702945,0.8114858274997194,0.4086827797025405,247,143,16215,144,16749,391,0.0233446772941668,,,,
Paju,overall,XGBoost,42.0,0.935,0.9789241148725296,0.8793680184641035,0.5334507042253521,0.7749360613810742,0.6319082377476538,0.978007898088455,0.6906330021791319,303,265,16093,88,16749,391,0.0233446772941668,0.7108433734939759,49.48311156601842,,
Seoul,overall,1D-CNN,42.0,0.8499999999999999,0.9514438751746624,0.8421520360480641,0.0476744186046511,0.7321428571428571,0.0895196506550218,0.9343823014018692,0.1720183931243673,41,819,16301,15,17176,56,0.0032603632976245,0.032520325203252,,5.0,58743.0
Seoul,overall,LSTM,42.0,0.5449999999999999,0.9239054494643688,0.8817339786381843,0.0349442379182156,0.8392857142857143,0.0670949321912919,0.9596962616822428,0.2942202100679255,47,1298,15822,9,17176,56,0.0032603632976245,0.0339622641509433,,5.0,58743.0
Seoul,overall,Persistence,,,0.9963903120633442,0.72230891188251,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.72230891188251,0.201103313356083,25,31,17089,31,17176,56,0.0032603632976245,,,,
