task,model,station,mean,std,min,max,count,range
onset,1D-CNN-Onset,Baengnyeongdo,0.2451,0.0035,0.2414,0.2485,3,0.0071
onset,1D-CNN-Onset,Paju,0.1773,0.0222,0.16,0.2023,3,0.0423
onset,1D-CNN-Onset,Seoul,0.0794,0.0658,0.0187,0.1493,3,0.1305
onset,1D-CNN-Onset,Taebaek,0.0969,0.0617,0.029,0.1495,3,0.1205
onset,LSTM-Onset,Baengnyeongdo,0.2872,0.0094,0.278,0.2968,3,0.0188
onset,LSTM-Onset,Paju,0.2248,0.0289,0.1946,0.2522,3,0.0576
onset,LSTM-Onset,Seoul,0.0481,0.0279,0.0303,0.0802,3,0.0498
onset,LSTM-Onset,Taebaek,0.1803,0.0256,0.1614,0.2094,3,0.048
onset,XGBoost-Onset,Baengnyeongdo,0.3172,0.005,0.3126,0.3226,3,0.01
onset,XGBoost-Onset,Paju,0.266,0.0053,0.2615,0.2718,3,0.0103
onset,XGBoost-Onset,Seoul,0.0607,0.0026,0.0581,0.0632,3,0.0051
onset,XGBoost-Onset,Taebaek,0.177,0.0161,0.1652,0.1953,3,0.0301
overall,1D-CNN,Baengnyeongdo,0.6686,0.0285,0.6365,0.6909,3,0.0544
overall,1D-CNN,Paju,0.4834,0.0456,0.4489,0.5351,3,0.0862
overall,1D-CNN,Seoul,0.0786,0.025,0.05,0.0963,3,0.0463
overall,1D-CNN,Taebaek,0.4029,0.0486,0.3497,0.4452,3,0.0954
overall,LSTM,Baengnyeongdo,0.6937,0.0143,0.6808,0.7091,3,0.0284
overall,LSTM,Paju,0.5174,0.0592,0.4575,0.5759,3,0.1183
overall,LSTM,Seoul,0.1004,0.0357,0.0671,0.1382,3,0.0711
overall,LSTM,Taebaek,0.4962,0.0396,0.4583,0.5374,3,0.0791
overall,XGBoost,Baengnyeongdo,0.7448,0.001,0.7438,0.7458,3,0.0021
overall,XGBoost,Paju,0.6372,0.005,0.6319,0.6419,3,0.01
overall,XGBoost,Seoul,0.2144,0.0283,0.1822,0.2353,3,0.0531
overall,XGBoost,Taebaek,0.5912,0.0099,0.5849,0.6026,3,0.0177
